Price,Close,High,Low,Open,Volume
Ticker,JSMR.JK,JSMR.JK,JSMR.JK,JSMR.JK,JSMR.JK
Date,,,,,
2024-08-27,5221.751953125,5221.751953125,5173.625207013249,5221.751953125,3597700
2024-08-28,5221.751953125,5293.942072292627,5221.751953125,5293.942072292627,2391700
2024-08-29,5101.435546875,5245.815798201651,5101.435546875,5245.815798201651,5090500
2024-08-30,5149.56201171875,5149.56201171875,5053.308516172605,5101.435263945677,6363200
2024-09-02,5077.3720703125,5197.688944016588,5077.3720703125,5125.498819794136,5696100
2024-09-03,5053.30859375,5149.562090773809,4981.118470982143,5101.435342261904,3086700
2024-09-04,5029.2451171875,5077.371864720395,4981.118369654605,5029.2451171875,2522500
2024-09-05,5149.56201171875,5197.688759491823,5029.2451422860695,5029.2451422860695,9095200
2024-09-06,5029.2451171875,5149.561986019737,5005.1817434210525,5149.561986019737,4743300
2024-09-09,4860.8017578125,5005.182008044555,4793.424307704208,5005.182008044555,23187700
2024-09-10,4735.671875,4908.9281631097565,4591.291634908536,4908.9281631097565,30623900
2024-09-11,4677.919921875,4774.173418209876,4639.418523341049,4735.672019675926,11258000
2024-09-12,4716.42138671875,4726.046736487564,4629.793238799426,4668.294637874681,12372700
2024-09-13,4745.29736328125,4774.17341214503,4697.1706151749495,4716.421314417469,7280900
2024-09-17,4908.92822265625,4957.054969937193,4754.922631357231,4764.547980813419,12984500
2024-09-18,4860.8017578125,4932.991882928527,4836.738382773825,4908.928507889852,6403600
2024-09-19,4836.73828125,4957.0551539179105,4812.674906716418,4957.0551539179105,7856100
2024-09-20,4754.9228515625,4836.738325729061,4706.796102052758,4836.738325729061,10831100
2024-09-23,4783.798828125,4836.738251776283,4735.672079351107,4754.922778860664,3558200
2024-09-24,4774.17333984375,4803.049388270224,4735.671941941784,4793.424038794733,4481700
2024-09-25,4745.29736328125,4774.17341214503,4639.418517447389,4774.17341214503,10543400
2024-09-26,4783.798828125,4783.798828125,4697.170680331992,4735.672079351107,6183000
2024-09-27,4745.29736328125,4803.049461008811,4677.919915932429,4803.049461008811,8404900
2024-09-30,4745.29736328125,4774.17341214503,4658.669216689908,4745.29736328125,8699000
2024-10-01,4716.42138671875,4774.173485331633,4706.796036949936,4774.173485331633,4447400
2024-10-02,4697.17041015625,4726.0464577596695,4668.2943625528305,4716.421108558529,5797600
2024-10-03,4716.42138671875,4745.297436025191,4658.669288105867,4697.170687181123,3838700
2024-10-04,4697.17041015625,4726.0464577596695,4677.919711753971,4726.0464577596695,2235700
2024-10-07,4745.29736328125,4774.17341214503,4697.1706151749495,4706.79596479621,4226900
2024-10-08,4735.671875,4745.297224339431,4677.9197789634145,4745.297224339431,4057700
2024-10-09,4706.7958984375,4745.297296379729,4706.7958984375,4716.421247923057,2721500
2024-10-10,4754.9228515625,4754.9228515625,4697.17075215081,4735.672151758603,2818300
2024-10-11,4745.29736328125,4803.049461008811,4735.67201365999,4803.049461008811,1863000
2024-10-14,4697.17041015625,4745.29715616195,4697.17041015625,4745.29715616195,1938500
2024-10-15,4687.54541015625,4735.672159747177,4687.54541015625,4697.170760074436,3646500
2024-10-16,4716.42138671875,4716.42138671875,4649.043938337054,4687.545337412309,8602700
2024-10-17,4649.0439453125,4697.170694228778,4649.0439453125,4687.5453444455225,10437200
2024-10-18,4649.0439453125,4706.796044012034,4649.0439453125,4658.669295095756,8588900
2024-10-21,4649.0439453125,4677.919994662267,4639.418595529244,4668.294644879012,4175700
2024-10-22,4658.66943359375,4658.66943359375,4610.542683246707,4658.66943359375,6432500
2024-10-23,4649.0439453125,4668.294644879012,4620.1678959627325,4658.669295095756,4026600
2024-10-24,4620.16796875,4658.669368489584,4620.16796875,4649.044018554688,1470100
2024-10-25,4543.1650390625,4639.418535652808,4543.1650390625,4629.793185993777,6308900
2024-10-28,4504.66357421875,4543.164972288995,4466.162176148504,4543.164972288995,6016100
2024-10-29,4629.79296875,4649.04366716476,4514.288778261434,4533.539476676196,6422100
2024-10-30,4668.29443359375,4668.29443359375,4581.666289465206,4658.669084246134,3176900
2024-10-31,4668.29443359375,4677.919782941366,4629.793036203286,4658.669084246134,8842000
2024-11-01,4600.9169921875,4687.545136391867,4591.291642831459,4668.294437679786,5541900
2024-11-04,4523.91455078125,4600.917351645612,4398.784999376662,4600.917351645612,6426800
2024-11-05,4533.53955078125,4562.415598875398,4485.41280395767,4523.914201416534,4021900
2024-11-06,4543.1650390625,4562.415738380561,4495.038290767347,4552.790388721531,4157500
2024-11-07,4581.66650390625,4591.291853704372,4446.911606732537,4543.16510471376,3757500
2024-11-08,4600.9169921875,4649.0437389677045,4552.790245407296,4591.291642831459,3994300
2024-11-11,4523.91455078125,4572.041301321477,4475.787800241024,4562.415951213431,2801600
2024-11-12,4533.53955078125,4572.040948240114,4504.663502687102,4514.288852051818,2828400
2024-11-13,4408.41015625,4523.9143524836245,4389.159456877729,4514.289002797489,5460800
2024-11-14,4398.78466796875,4418.035366734478,4244.77907784293,4418.035366734478,10250300
2024-11-15,4389.15966796875,4437.286418714021,4341.032917223479,4398.785018117804,2683800
2024-11-18,4369.90869140625,4427.660788649504,4350.657992325165,4389.159390487334,1117400
2024-11-19,4350.658203125,4389.159603152655,4321.782153104259,4341.032853118086,5271200
2024-11-20,4389.15966796875,4408.410368266858,4360.283617521587,4389.15966796875,1238400
2024-11-21,4408.41015625,4456.536904680677,4350.658058133188,4389.159456877729,6386200
2024-11-22,4427.66064453125,4446.911342985733,4389.159247622282,4408.409946076766,3486500
2024-11-25,4427.66064453125,4456.536692212975,4389.159247622282,4418.035295304008,6221600
2024-11-26,4523.91455078125,4523.91455078125,4408.410349484708,4437.286399808843,2354600
2024-11-28,4427.66064453125,4514.288787576426,4398.784596849524,4504.663438349185,3572800
2024-11-29,4283.28076171875,4437.286362140098,4283.28076171875,4437.286362140098,3716000
2024-12-02,4254.40478515625,4360.283637275524,4196.6526840002825,4264.030135348911,4840400
2024-12-03,4292.90576171875,4302.531110960272,4215.902967786576,4254.404364752662,2645000
2024-12-04,4408.41015625,4408.41015625,4264.029910957969,4292.9059600163755,2184100
2024-12-05,4398.78466796875,4408.4100173516135,4379.533969203023,4389.1593185858865,841600
2024-12-06,4408.41015625,4456.536904680677,4350.658058133188,4398.784806563865,2215700
2024-12-09,4350.658203125,4418.035653173396,4350.658203125,4408.410303166482,3550700
2024-12-10,4283.28076171875,4398.7849620347615,4273.655411692415,4379.534261982092,4633200
2024-12-11,4369.90869140625,4398.784740027877,4331.40729324408,4331.40729324408,2597000
2024-12-12,4331.4072265625,4398.784672309028,4302.531178385417,4398.784672309028,1101500
2024-12-13,4292.90576171875,4341.032507926359,4244.779015511141,4341.032507926359,3170000
2024-12-16,4206.27783203125,4321.782028791833,4187.027132571153,4321.782028791833,2778000
2024-12-17,4138.900390625,4196.652489098838,4129.275040879361,4187.0271393531975,3513300
2024-12-18,4023.396240234375,4158.151138232655,3975.2694909492748,4138.900438518615,4527700
2024-12-19,3879.015869140625,4042.646811511321,3830.8891213845377,3994.520063755234,8633400
2024-12-20,3936.76806640625,3975.269465588707,3792.3878194720355,3879.0159676325643,4292200
2024-12-23,4187.02685546875,4244.778950026939,3946.3931281429595,3946.3931281429595,5979300
2024-12-24,4148.52587890625,4225.528679442793,4138.900528839182,4187.027279174521,1410900
2024-12-27,4167.7763671875,4187.0270663431,4138.900318454099,4148.5256680319,970000
2024-12-30,4167.7763671875,4283.280562121103,4158.1510176097,4167.7763671875,2977700
2025-01-02,4196.65234375,4196.65234375,4129.274897864106,4177.401644925459,1134900
2025-01-03,4273.6552734375,4283.280623152449,4148.525727143158,4148.525727143158,2073800
2025-01-06,4408.41015625,4418.035505936135,4225.528512213428,4244.779211585699,7894200
2025-01-07,4312.15673828125,4418.0355867658345,4283.2806886945455,4418.0355867658345,3702300
2025-01-08,4235.15380859375,4379.534052068537,4215.9031094637785,4331.407304243608,7700300
2025-01-09,4312.15673828125,4389.159537179129,4215.903239658901,4235.153939383371,2314100
2025-01-10,4331.4072265625,4389.1593229166665,4302.531178385417,4331.4072265625,3161000
2025-01-13,4244.779296875,4331.407445790816,4215.903247236395,4331.407445790816,3356200
2025-01-14,4081.148193359375,4264.029834099536,4023.396096283535,4254.404484586896,5069800
2025-01-15,4081.148193359375,4119.649591409935,4033.021445796175,4100.3988923846555,4189500
2025-01-16,4138.900390625,4196.652489098838,4071.5229424055233,4100.3989916424425,3902600
2025-01-17,4138.900390625,4187.0271393531975,4129.275040879361,4138.900390625,2054400
2025-01-20,4090.773681640625,4167.77648035386,4052.272282284007,4148.525780675552,2428200
2025-01-21,4196.65234375,4206.27769316227,4158.150946100917,4167.7762955131875,859700
2025-01-22,4177.40185546875,4225.528604955717,4177.40185546875,4196.652555263537,478800
2025-01-23,4254.40478515625,4283.280835734234,4196.6526840002825,4225.528734578266,1677000
2025-01-24,4158.15087890625,4283.280419243706,4158.15087890625,4283.280419243706,1108700
2025-01-30,4100.39892578125,4177.401722509536,4100.39892578125,4167.776372918501,1930900
2025-01-31,4071.52294921875,4119.649698027482,4042.64689993351,4119.649698027482,4276000
2025-02-03,3946.393310546875,4071.522854539825,3888.64121331936,4071.522854539825,3737400
2025-02-04,3994.52001953125,4033.021417309865,3956.0186217526357,3956.0186217526357,1882700
2025-02-05,4013.770751953125,4013.770751953125,3956.0186548027204,4013.770751953125,901100
2025-02-06,3994.52001953125,4013.7707184205574,3936.7679228633283,4013.7707184205574,900700
2025-02-07,3927.142578125,3994.5200243183212,3850.13978247549,3994.5200243183212,6726800
2025-02-10,3907.891845703125,3965.643941945043,3879.0157975821658,3927.142544450431,1845400
2025-02-11,3753.886474609375,3907.8920735677084,3725.010424804688,3907.8920735677084,4731900
2025-02-12,3917.517333984375,4023.3961808488175,3753.8863888302362,3753.8863888302362,5172500
2025-02-13,3888.641357421875,3927.1427570003093,3869.3906576326576,3898.2667073164835,3750900
2025-02-14,3927.142578125,3946.3932770373776,3859.7651319316788,3898.266529756434,1946500
2025-02-17,3975.269287109375,4013.7706845632188,3869.3904441113045,3869.3904441113045,4651200
2025-02-18,3975.269287109375,4013.7706845632188,3936.7678896555312,3984.894636472836,3300500
2025-02-19,3936.76806640625,4004.14551497555,3917.5173668150214,3984.8948153843216,981500
2025-02-20,3956.018798828125,3956.018798828125,3850.1399501976884,3946.393448952631,2582700
2025-02-21,4004.1455078125,4013.770857590895,3907.8920100285454,3946.3934091421274,1571800
2025-02-24,3946.393310546875,4023.396106850229,3927.1426114710366,4004.1454077743906,665100
2025-02-25,3811.638427734375,3975.2693703391337,3725.0102816495028,3975.2693703391337,2817900
2025-02-26,3599.880859375,3821.263906876671,3561.379459809492,3811.638556985294,4556700
2025-02-27,3657.6328125,3676.883511513158,3561.3793174342104,3609.5060649671054,2976400
2025-02-28,3426.62451171875,3657.6329057672046,3426.62451171875,3657.6329057672046,4482000
2025-03-03,3571.004638671875,3580.6299881022574,3426.6243972161387,3445.875096076904,3378600
2025-03-04,3484.37646484375,3609.5060063989126,3455.500416792559,3580.629958347721,1877200
2025-03-05,3484.37646484375,3532.5032115957356,3426.6243687413676,3426.6243687413676,13056500
2025-03-06,3667.25830078125,3744.2610997477855,3465.1259534940946,3494.0020031065455,13405600
2025-03-07,3715.385009765625,3782.7624581292507,3667.258260934464,3686.508960466929,4788100
2025-03-10,3705.759521484375,3744.260919110187,3609.506027419846,3734.635569703734,2975600
