PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,Cluster
-1.3200508913390896,-0.0194261607160514,-0.3419320348662789,-0.624814651707098,1.0911393138182066,-0.3139488554098168,0.8076217508252159,-1.2812378853570745,2.145810116630338,1.3016480740276026,1.444811570737437,0.0423423365193673,8
-2.276778098760593,-0.3776428164778176,-1.4933203731045357,5.6117422481305725,-1.9275528582348973,-5.65520637776879,2.1953094654969982,0.1351477143145719,1.521266187119073,-1.1971586418409106,-0.3274029052600716,1.507049317782205,4
-1.0110256725104816,0.0136447346360506,1.1488276454406292,1.375444429329305,-0.9469553130834452,-0.6449502481781048,-1.2845548105784153,-1.448885937248479,0.4607414119745488,0.6175059746865753,1.3218956994976807,-2.275643041186156,8
-1.4698744120742209,-0.3067061140144198,-0.7424306167961456,2.374835349578263,-0.6567339579151087,-0.2484270371830989,-2.055849813399464,-2.4234074906999155,-0.8050701677356857,-0.5068202119645163,1.08223573676067,-1.6007973370538755,8
-1.4519722902373848,-1.1719705337727204,-0.8236507955417128,-0.7257925893121624,0.5509224913760341,-1.9345966281788387,-1.9762008966662947,-2.347614553991372,-0.3187054638975172,0.9641331974616116,0.5202835645995912,-0.7776754817940813,8
0.0530011311375155,-2.6293909276211527,0.2596979538977259,-0.286258830343045,-0.7631341800240699,0.5931540068805268,-1.89516638552424,-0.0781399211252628,-0.1765644394167381,-0.0923125782822251,0.2941557495334408,1.1077590533176924,0
0.3942711609947674,0.1229215253003133,-1.0369631203127834,0.5738294984354452,0.1407426124301597,0.6956799377876728,-0.2300347903560158,-0.1163443767713109,-0.3453891077926724,-0.4506507515335618,0.0136410213722755,0.5441116468142331,3
-2.5901249108134694,-1.2995735329116738,1.0846093861825563,1.797646759267387,0.5244941131563489,-0.3245184565472268,-1.429354137943214,-2.277986725418962,-0.4306558867010108,-0.7637837729580498,1.0509341513007937,-0.5849525394243419,8
0.0842709423173829,0.7510926337520201,0.3319285982190336,0.6270293673472064,-1.580847182961427,0.2617374015475031,-1.1131629049025158,0.1540170821185187,-0.7044621584966992,-0.1308648391275122,0.1401728161890695,-1.138925864276499,1
-0.499552481905659,0.1137754667184696,1.691537703275627,-0.824789572066667,0.5109719167888891,0.0763212968959581,0.6092321995835295,-0.1040501766937112,0.6020758160929083,-0.0808104023010284,-0.3867040723700451,0.4350119592804968,7
-0.3967541158791596,1.382828285090802,1.298365319423887,1.404383385418698,-0.6853364287285744,0.5779311317055936,1.0576794942306336,1.3508065430787808,-1.3449650397864763,1.494612239810477,0.0453259827482854,-1.0130810675889352,6
-2.341780587452745,0.2146290554809211,-0.6440652306278132,1.429529865776186,-0.4140315981223752,-0.5176076996613225,-0.2926449168821151,2.9360786586330394,1.536503743362642,0.1995651429753795,-2.2216835323035293,-0.5076422361531697,2
-2.0136310622834963,-0.4065484338737989,0.1336780567047778,2.691775342782584,0.8251768475951274,-0.3578655257923607,-1.389698196040198,-1.9593370463380888,-0.767767571774739,0.2464213457419844,1.1711363249847992,-0.0297323480415869,8
0.9782128594491336,-2.345527069761999,0.8906597585672534,1.0155227756211265,-1.744488867961055,0.393204418287474,-2.107123682446762,1.0239690243412156,-1.186842941822816,-0.5505476673055525,1.608315700341473,-0.7427606114884474,0
-0.4490818556234703,-0.0524010691190475,-0.1697382638621877,-1.537895921119271,0.052976908145533,-1.0063719550891286,0.0186979033569144,0.1828904189565774,-1.470237604171324,-0.823247339020324,-0.4102249346887436,-1.7602992879434594,7
